銘柄コード,企業名
4902,コニカミノルタ
2760,東京エレクトロンデバイス
3132,マクニカホールディングス
3436,ＳＵＭＣＯ
4043,トクヤマ
4063,信越化学工業
4185,ＪＳＲ
4186,東京応化工業
4203,住友ベークライト
4272,日本化薬
4369,トリケミカル研究所
4401,ＡＤＥＫＡ
4626,太陽ホールディングス
4980,デクセリアルズ
6146,ディスコ
6315,ＴＯＷＡ
6323,ローツェ
6526,ソシオネクスト
6707,サンケン電気
6723,ルネサスエレクトロニクス
6728,アルバック
6758,ソニーグループ
6857,アドバンテスト
6890,フェローテックホールディングス
6920,レーザーテック
6963,ローム
7729,東京精密
7735,SCREENホールディングス
7741,ＨＯＹＡ
8035,東京エレクトロン
8154,加賀電子
