銘柄コード,企業名
4021,日産化学（株）
4043,（株）トクヤマ
4063,信越化学工業（株）
4186,東京応化工業（株）
4203,住友ベークライト（株）
4272,日本化薬（株）
4401,（株）ＡＤＥＫＡ
4626,太陽ホールディングス（株）
4980,デクセリアルズ（株）
3436,（株）ＳＵＭＣＯ
6315,ＴＯＷＡ（株）
6323,ローツェ（株）
6525,（株）ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
6526,（株）ソシオネクスト
6707,サンケン電気（株）
6723,ルネサスエレクトロニクス（株）
6728,（株）アルバック
6758,ソニーグループ（株）
6857,（株）アドバンテスト
6890,（株）フェローテックホールディングス
6920,レーザーテック（株）
6963,ローム（株）
7735,（株）ＳＣＲＥＥＮホールディングス
8035,東京エレクトロン（株）
6146,（株）ディスコ
7729,（株）東京精密
7741,ＨＯＹＡ（株）
2760,東京エレクトロン　デバイス（株）
3132,マクニカホールディングス（株）
8154,加賀電子（株）
